Circuit: * Z:\home\solomon\VLSI\Assignments\Assignment 2\Simulation\Q2_nmos_sc.asc

Ignoring BSIM parameter XL
Ignoring BSIM parameter XW
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Direct Newton iteration for .op point succeeded.
.step vdd=-1.8
.step vdd=-1.72
.step vdd=-1.64
.step vdd=-1.56
.step vdd=-1.48
.step vdd=-1.4
.step vdd=-1.32
.step vdd=-1.24
.step vdd=-1.16
.step vdd=-1.08
.step vdd=-1
.step vdd=-0.92
.step vdd=-0.84
.step vdd=-0.76
.step vdd=-0.68
.step vdd=-0.6
.step vdd=-0.52
.step vdd=-0.44
.step vdd=-0.36
.step vdd=-0.28
.step vdd=-0.2
.step vdd=-0.12
.step vdd=-0.04
.step vdd=0.04
.step vdd=0.12
.step vdd=0.2
.step vdd=0.28
.step vdd=0.36
.step vdd=0.44
.step vdd=0.52
.step vdd=0.6
.step vdd=0.68
.step vdd=0.76
.step vdd=0.84
.step vdd=0.92
.step vdd=1
.step vdd=1.08
.step vdd=1.16
.step vdd=1.24
.step vdd=1.32
.step vdd=1.4
.step vdd=1.48
.step vdd=1.56
.step vdd=1.64
.step vdd=1.72
.step vdd=1.8


Measurement: i_rms
  step	RMS(ig(m1))	FROM	TO
    18	8.22798e-016	0	1
    19	8.06875e-016	0	1
    20	7.93679e-016	0	1
    21	7.82554e-016	0	1
    22	7.73034e-016	0	1
    23	7.6478e-016	0	1
    24	7.57546e-016	0	1
    25	7.51162e-016	0	1
    26	7.45673e-016	0	1
    27	7.42597e-016	0	1
    28	7.55446e-016	0	1
    29	8.72654e-016	0	1
    30	1.06724e-015	0	1
    31	1.14373e-015	0	1
    32	1.1545e-015	0	1
    33	1.15553e-015	0	1
    34	1.15545e-015	0	1
    35	1.15527e-015	0	1
    36	1.1551e-015	0	1
    37	1.15494e-015	0	1
    38	1.1548e-015	0	1
    39	1.15467e-015	0	1
    40	1.15456e-015	0	1
    41	1.15446e-015	0	1
    42	1.15437e-015	0	1
    43	1.15429e-015	0	1
    44	1.15421e-015	0	1
    45	1.15414e-015	0	1
    46	1.15408e-015	0	1


Date: Tue Nov 02 09:31:23 2021
Total elapsed time: 9.506 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 80034
traniter = 80030
tranpoints = 40016
accept = 24018
rejected = 15998
matrix size = 2
fillins = 0
solver = Normal
Matrix Compiler1: off  0.1/0.1/[0.1]
Matrix Compiler2: 96 bytes object code size  0.1/0.1/[0.1]

